ID,Name,Pos,Team,BV,p(start),p(90),p(sub on),xMins,g share,a share,yc tax,1_Pts,2_Pts,3_Pts,4_Pts,5_Pts,6_Pts,7_Pts,8_Pts,9_Pts,10_Pts,11_Pts,12_Pts
573221,Kacper Chorazka,G,Bohemians,5.5,1,1,0,90,0.00,0.001,0.05,5.21,5.26,4.51,4.98,5.42,5.64,4.80,6.10,5.38,6.01,5.85,4.42
1,Paul Walters,G,Bohemians,4,0,0,0,0,0.00,0.001,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
46515,Cian Byrne,D,Bohemians,5.5,0.9,0.9,0,81,0.07,0.05,0.11,5.00,5.07,4.27,4.73,5.22,5.46,4.55,5.95,5.12,5.87,5.72,4.15
61411,Sam Todd,D,Bohemians,5.5,1,0.9,0,87.5,0.06,0.05,0.11,5.33,5.41,4.55,5.05,5.57,5.82,4.86,6.34,5.46,6.25,6.09,4.43
72587,Darragh Power,D,Bohemians,5,0.3,0.3,0.2,31,0.09,0.05,0.11,2.19,2.23,1.85,2.06,2.30,2.41,1.98,2.63,2.24,2.60,2.53,1.79
675943,Jubril Okedina,D,Bohemians,5,0.1,0.2,0.1,13.5,0.07,0.05,0.11,0.97,0.98,0.82,0.91,1.01,1.06,0.88,1.16,0.99,1.14,1.11,0.80
222,Senan Mullen,D,Bohemians,5,0.8,0.7,0.1,71.5,0.07,0.05,0.11,4.53,4.60,3.86,4.28,4.74,4.96,4.12,5.41,4.64,5.34,5.20,3.74
129412,Leigh Kavanagh,D,Bohemians,4.5,0,0.4,0.1,12,0.05,0.05,0.11,0.91,0.91,0.78,0.86,0.95,0.99,0.83,1.08,0.94,1.06,1.03,0.76
55302,Ryan Burke,D,Bohemians,4.5,0.2,0.2,0.3,24,0.06,0.05,0.11,1.83,1.86,1.54,1.72,1.92,2.01,1.65,2.20,1.87,2.17,2.11,1.49
48234,Dawson Devoy,M,Bohemians,9,1,0.9,0,87.5,0.23,0.16,0.11,5.11,5.26,4.48,4.77,5.32,5.59,4.68,5.97,5.03,5.95,5.89,4.29
60859,Dayle Rooney,M,Bohemians,9,1,0.9,0,87.5,0.22,0.2,0.11,5.18,5.34,4.54,4.84,5.40,5.68,4.75,6.07,5.10,6.05,6.00,4.34
465580,Patrick Hickey,M,Bohemians,8,1,0.7,0.3,88.5,0.16,0.1,0.2,4.91,5.04,4.28,4.60,5.11,5.35,4.50,5.72,4.86,5.69,5.63,4.11
105819,Ross Tierney,M,Bohemians,7.5,1,0.8,0,85,0.20,0.16,0.11,4.85,4.99,4.26,4.54,5.05,5.30,4.46,5.66,4.79,5.64,5.59,4.08
514537,Harry Vaughan,M,Bohemians,7,0.7,0.4,0.8,71.5,0.11,0.1,0.11,4.60,4.71,3.99,4.31,4.79,5.01,4.20,5.36,4.58,5.33,5.26,3.83
239719,Jordan Flores,M,Bohemians,6.5,0.1,0.2,0.3,17.5,0.12,0.1,0.11,1.23,1.26,1.07,1.16,1.28,1.34,1.13,1.43,1.23,1.42,1.41,1.03
29834,Niall Morahan,M,Bohemians,6.5,0.1,0.1,0,9,0.05,0.07,0.11,0.42,0.43,0.38,0.41,0.44,0.45,0.40,0.48,0.42,0.47,0.47,0.37
58991,Adam McDonnell,M,Bohemians,6,0,0.1,0.2,6.5,0.14,0.07,0.11,0.55,0.56,0.48,0.52,0.58,0.60,0.50,0.65,0.55,0.64,0.63,0.46
120724,James McManus,M,Bohemians,6,0.1,0.1,0.1,11,0.14,0.07,0.11,0.68,0.70,0.60,0.64,0.71,0.74,0.63,0.79,0.68,0.78,0.78,0.57
501144,Conor Parsons,M,Bohemians,5.5,0.1,0,0.5,16.5,0.14,0.07,0.11,1.44,1.47,1.21,1.34,1.51,1.58,1.29,1.71,1.44,1.70,1.67,1.16
76509,Rhys Brennan,M,Bohemians,5.5,0,0,0.2,4,0.18,0.07,0.11,0.44,0.46,0.37,0.41,0.47,0.49,0.40,0.53,0.44,0.53,0.52,0.35
